Local name,Distance,Geom,geometry,Lat,Long
Residencial Rio Jordão,8.5,POINT (-49.1819871 -16.6403669),POINT (-49.1819871 -16.6403669),-49.1819871,-16.6403669
Residencial Senador Albino Boaventura,8.1,POINT (-49.3154102 -16.6363996),POINT (-49.3154102 -16.6363996),-49.3154102,-16.6363996
Residencial Sonho Dourado,6.0,POINT (-49.1990151 -16.6563224),POINT (-49.1990151 -16.6563224),-49.1990151,-16.6563224
Residencial Sonho Verde,4.1,POINT (-49.21397102927416 -16.68871615),POINT (-49.21397102927416 -16.68871615),-49.21397102927416,-16.68871615
Residencial Sonho Verde Complemento,4.1,POINT (-49.21210918256531 -16.6860485),POINT (-49.21210918256531 -16.6860485),-49.212109182565314,-16.6860485
Residencial São Geraldo,9.2,POINT (-49.261485 -16.5965918),POINT (-49.261485 -16.5965918),-49.261485,-16.5965918
Residencial São Leopoldo,8.4,POINT (-49.177036 -16.6511726),POINT (-49.177036 -16.6511726),-49.177036,-16.6511726
Residencial Vale da Serra,9.4,POINT (-49.20877030871473 -16.60598585),POINT (-49.20877030871473 -16.60598585),-49.20877030871473,-16.60598585
Residencial Vale do Araguaia,4.8,POINT (-49.2030909 -16.6773089),POINT (-49.2030909 -16.6773089),-49.2030909,-16.6773089
Residencial Vale dos Sonhos I,9.9,POINT (-49.20442945300272 -16.5975631),POINT (-49.20442945300272 -16.5975631),-49.20442945300272,-16.597563100000002
Residencial das Acácias,7.4,POINT (-49.2982581 -16.6252777),POINT (-49.2982581 -16.6252777),-49.2982581,-16.6252777
Residencial dos Ipês,9.2,POINT (-49.2553796 -16.5955305),POINT (-49.2553796 -16.5955305),-49.2553796,-16.5955305
Santa Genoveva,3.6,POINT (-49.2363063 -16.6343174),POINT (-49.2363063 -16.6343174),-49.2363063,-16.6343174
Santa Genoveva II,6.7,POINT (-49.2374445 -16.6203886),POINT (-49.2374445 -16.6203886),-49.2374445,-16.6203886
Serrinha,4.7,POINT (-49.2650535 -16.7220021),POINT (-49.2650535 -16.7220021),-49.2650535,-16.7220021
Setor Aeroporto,1.4,POINT (-49.2709853 -16.6737673),POINT (-49.2709853 -16.6737673),-49.2709853,-16.6737673
Setor Alto da Glória,3.9,POINT (-49.2390059 -16.7136742),POINT (-49.2390059 -16.7136742),-49.2390059,-16.7136742
Setor Alto do Vale,8.9,POINT (-49.3094011 -16.6142498),POINT (-49.3094011 -16.6142498),-49.3094011,-16.6142498
Setor Asa Branca,9.1,POINT (-49.2086846393281 -16.60868535),POINT (-49.2086846393281 -16.60868535),-49.2086846393281,-16.608685350000002
Setor Bela Vista,3.2,POINT (-49.26124720469419 -16.71272535),POINT (-49.26124720469419 -16.71272535),-49.261247204694186,-16.71272535
Setor Bueno,3.2,POINT (-49.277922 -16.697876),POINT (-49.277922 -16.697876),-49.277922,-16.697876
Setor Campinas,4.2,POINT (-49.2903751 -16.6692833),POINT (-49.2903751 -16.6692833),-49.2903751,-16.6692833
Setor Castelo Branco,4.2,POINT (-49.29661715658455 -16.68131355),POINT (-49.29661715658455 -16.68131355),-49.296617156584546,-16.68131355
Setor Cândida de Morais,8.5,POINT (-49.3293609221986 -16.648982),POINT (-49.3293609221986 -16.648982),-49.3293609221986,-16.648982
Setor Empresarial,7.0,POINT (-49.3109792 -16.6422003),POINT (-49.3109792 -16.6422003),-49.3109792,-16.6422003
Setor Jaó,3.3,POINT (-49.2298189 -16.6494038),POINT (-49.2298189 -16.6494038),-49.2298189,-16.6494038
Setor Marista,2.3,POINT (-49.2625052 -16.6998893),POINT (-49.2625052 -16.6998893),-49.2625052,-16.6998893
Setor Morada do Sol,9.5,POINT (-49.3216373 -16.6173063),POINT (-49.3216373 -16.6173063),-49.3216373,-16.6173063
Setor Morais,3.0,POINT (-49.2233204 -16.6638699),POINT (-49.2233204 -16.6638699),-49.2233204,-16.6638699
Setor Negrão de Lima,2.6,POINT (-49.24104782359051 -16.6538982),POINT (-49.24104782359051 -16.6538982),-49.241047823590506,-16.6538982
Setor Noroeste,7.1,POINT (-49.3155123 -16.6401711),POINT (-49.3155123 -16.6401711),-49.3155123,-16.6401711
Setor Norte Ferroviário,2.2,POINT (-49.2623017 -16.6589943),POINT (-49.2623017 -16.6589943),-49.2623017,-16.6589943
Setor Norte Ferroviário II,2.6,POINT (-49.261275 -16.6558002),POINT (-49.261275 -16.6558002),-49.261275,-16.6558002
Setor Nova Suiça,4.2,POINT (-49.2731008 -16.7140539),POINT (-49.2731008 -16.7140539),-49.2731008,-16.7140539
Setor Nova Vila,2.2,POINT (-49.2506696 -16.6582218),POINT (-49.2506696 -16.6582218),-49.2506696,-16.6582218
Setor Novo Horizonte,8.3,POINT (-49.31885 -16.7210964),POINT (-49.31885 -16.7210964),-49.31885,-16.7210964
Setor Oeste,2.0,POINT (-49.272167 -16.68122),POINT (-49.272167 -16.68122),-49.272167,-16.68122
Setor Pedro Ludovico,4.4,POINT (-49.2527426 -16.7137295),POINT (-49.2527426 -16.7137295),-49.2527426,-16.7137295
Setor Perim,5.5,POINT (-49.2964612 -16.648022),POINT (-49.2964612 -16.648022),-49.2964612,-16.648022
Setor Recanto das Minas Gerais,7.7,POINT (-49.1823054 -16.6469042),POINT (-49.1823054 -16.6469042),-49.1823054,-16.6469042
Setor Santos Dumont,8.9,POINT (-49.3366011 -16.6504881),POINT (-49.3366011 -16.6504881),-49.3366011,-16.6504881
Setor Urias Magalhães,4.1,POINT (-49.27108127874484 -16.6404085),POINT (-49.27108127874484 -16.6404085),-49.27108127874484,-16.6404085
Setor dos Funcionarios,3.6,POINT (-49.2844328 -16.6675463),POINT (-49.2844328 -16.6675463),-49.2844328,-16.6675463
Sítio Recreio Panorama,7.5,POINT (-49.3043199 -16.6304897),POINT (-49.3043199 -16.6304897),-49.3043199,-16.6304897
Sítio de Recreio Ipê,8.2,POINT (-49.19361816593386 -16.62696565),POINT (-49.19361816593386 -16.62696565),-49.193618165933856,-16.62696565
Sítio de Recreio São Geraldo,9.7,POINT (-49.26305 -16.5933552),POINT (-49.26305 -16.5933552),-49.26305,-16.5933552
Vale dos Sonhos II,9.1,POINT (-49.21696199557257 -16.6047186),POINT (-49.21696199557257 -16.6047186),-49.21696199557257,-16.604718599999998
Vila Abajá,4.0,POINT (-49.2866109 -16.6642638),POINT (-49.2866109 -16.6642638),-49.2866109,-16.6642638
Vila Bandeirantes,2.6,POINT (-49.226665 -16.6716027),POINT (-49.226665 -16.6716027),-49.226665,-16.6716027
Vila Boa,8.7,POINT (-49.3162502 -16.7308442),POINT (-49.3162502 -16.7308442),-49.3162502,-16.7308442
Vila Clemente,4.8,POINT (-49.2899913 -16.6500705),POINT (-49.2899913 -16.6500705),-49.2899913,-16.6500705
Vila Colemar Natal e Silva,2.4,POINT (-49.2317403 -16.6668997),POINT (-49.2317403 -16.6668997),-49.2317403,-16.6668997
Vila Concórdia,7.0,POINT (-49.186741 -16.6629412),POINT (-49.186741 -16.6629412),-49.186741,-16.6629412
Vila Cristina,5.8,POINT (-49.2935507 -16.6398401),POINT (-49.2935507 -16.6398401),-49.2935507,-16.6398401
Vila Divino Pai Eterno,5.6,POINT (-49.271007 -16.7282596),POINT (-49.271007 -16.7282596),-49.271007,-16.7282596
Vila Finsocial,8.4,POINT (-49.3189271 -16.622968),POINT (-49.3189271 -16.622968),-49.3189271,-16.622968
Vila João Vaz,6.4,POINT (-49.3127335 -16.6524374),POINT (-49.3127335 -16.6524374),-49.3127335,-16.6524374
Vila Maria Dilce,6.0,POINT (-49.2958126 -16.6381982),POINT (-49.2958126 -16.6381982),-49.2958126,-16.6381982
Vila Maria Luíza,3.2,POINT (-49.2177452 -16.6844567),POINT (-49.2177452 -16.6844567),-49.2177452,-16.6844567
Vila Maria Rosa,7.6,POINT (-49.2391268 -16.6137833),POINT (-49.2391268 -16.6137833),-49.2391268,-16.6137833
Vila Mariana,8.4,POINT (-49.2885975 -16.7482911),POINT (-49.2885975 -16.7482911),-49.2885975,-16.7482911
Vila Martins,4.9,POINT (-49.20694593802259 -16.67177675),POINT (-49.20694593802259 -16.67177675),-49.206945938022585,-16.67177675
Vila Martins Extensão,4.9,POINT (-49.20674411040159 -16.67433975),POINT (-49.20674411040159 -16.67433975),-49.20674411040159,-16.67433975
Vila Matilde,6.8,POINT (-49.1913779 -16.6605948),POINT (-49.1913779 -16.6605948),-49.1913779,-16.6605948
Vila Mauá,7.0,POINT (-49.3161698 -16.697504),POINT (-49.3161698 -16.697504),-49.3161698,-16.697504
Vila Morais,3.1,POINT (-49.2214084 -16.6643404),POINT (-49.2214084 -16.6643404),-49.2214084,-16.6643404
Vila Nossa Senhora Aparecida,4.1,POINT (-49.2739392 -16.6474077),POINT (-49.2739392 -16.6474077),-49.2739392,-16.6474077
Vila Pedroso,7.5,POINT (-49.1786901 -16.6584892),POINT (-49.1786901 -16.6584892),-49.1786901,-16.6584892
Vila Redenção,4.4,POINT (-49.2422675 -16.7191819),POINT (-49.2422675 -16.7191819),-49.2422675,-16.7191819
Vila Regina,8.6,POINT (-49.3333437 -16.6565951),POINT (-49.3333437 -16.6565951),-49.3333437,-16.6565951
Vila Romana,2.4,POINT (-49.2284031 -16.6759604),POINT (-49.2284031 -16.6759604),-49.2284031,-16.6759604
Vila Roriz,4.5,POINT (-49.2655923 -16.6390663),POINT (-49.2655923 -16.6390663),-49.2655923,-16.6390663
Vila Santa Cruz,8.7,POINT (-49.21030695125761 -16.6125012),POINT (-49.21030695125761 -16.6125012),-49.21030695125761,-16.612501199999997
Vila Santa Isabel,2.4,POINT (-49.2314327 -16.6694475),POINT (-49.2314327 -16.6694475),-49.2314327,-16.6694475
Vila Santa Maria - Extensão,5.0,POINT (-49.2109966 -16.6541106),POINT (-49.2109966 -16.6541106),-49.2109966,-16.6541106
Vila Viana,2.6,POINT (-49.24063868614466 -16.6597022),POINT (-49.24063868614466 -16.6597022),-49.24063868614466,-16.659702199999998
Vilage Atalaia,9.5,POINT (-49.2586436 -16.5917601),POINT (-49.2586436 -16.5917601),-49.2586436,-16.5917601
Vilage Casa Grande,7.4,POINT (-49.2687329 -16.613299),POINT (-49.2687329 -16.613299),-49.2687329,-16.613299
Ville de France,9.8,POINT (-49.186349 -16.7419001),POINT (-49.186349 -16.7419001),-49.186349,-16.7419001
Zona Industrial Pedro Abrão,6.2,POINT (-49.3003907 -16.6411207),POINT (-49.3003907 -16.6411207),-49.3003907,-16.6411207
Água Branca,3.7,POINT (-49.2223546 -16.6911254),POINT (-49.2223546 -16.6911254),-49.2223546,-16.6911254
